word,meaning,source,example,frequency
enforce,执行；强制,cet6,The law must be enforced.,high
enormous,巨大的；庞大的,cet6,The project requires an enormous investment.,high
enterprise,企业；事业,cet6,She runs a successful enterprise.,medium
equivalent,等价的；等同的,cet6,The two words are equivalent in meaning.,medium
essential,基本的；必要的,cet6,Water is essential for life.,high
evaluate,评价；评估,cet6,We need to evaluate the results.,high
exaggerate,夸张；夸大,cet6,Don't exaggerate the problem.,medium
exceed,超过；超越,cet6,The cost exceeded our budget.,high
exception,例外；除外,cet6,Everyone must follow the rules without exception.,medium
excessive,过度的；极度的,cet6,Excessive drinking is harmful.,medium
exclude,排除；排斥,cet6,The price excludes tax.,medium
execute,执行；实施,cet6,The plan was executed flawlessly.,medium
exhibit,展示；展览,cet6,The museum will exhibit his works.,medium
expand,扩展；膨胀,cet6,The company plans to expand overseas.,high
expose,暴露；揭露,cet6,The investigation exposed corruption.,medium
extend,延伸；扩展,cet6,We decided to extend the deadline.,high
extensive,广泛的；大量的,cet6,Extensive research has been conducted.,high
external,外部的；对外的,cet6,The company hired an external consultant.,medium
extraordinary,非凡的；特别的,cet6,She achieved extraordinary results.,medium
extreme,极端的；激进的,cet6,The weather conditions were extreme.,medium
fabric,织物；结构,cet6,The fabric of society is changing.,medium
faculty,能力；全体教员,cet6,He has a faculty for learning languages.,medium
fashion,时尚；方式,cet6,Fashion trends change rapidly.,medium
fatal,致命的；灾难性的,cet6,A fatal error occurred.,medium
fatigue,疲劳；疲惫,cet6,The driver collapsed from fatigue.,medium
feasible,可行的；可能的,cet6,The plan is financially feasible.,medium
flourish,繁荣；兴旺,cet6,The business flourished under new management.,medium
forecast,预测；预报,cet6,The economic forecast is optimistic.,medium
formula,公式；方案,cet6,There is no magic formula for success.,medium
forthcoming,即将到来的；愿意提供信息的,cet6,More details will be forthcoming.,medium
foster,培养；促进,cet6,The program fosters creativity in children.,medium
foundation,基础；基金会,cet6,The theory has a solid foundation.,high
fraction,部分；分数,cet6,Only a fraction of the population voted.,medium
fragment,碎片；片段,cet6,I overheard a fragment of their conversation.,medium
framework,框架；结构,cet6,The legal framework needs updating.,medium
frequency,频率；频繁,cet6,The frequency of accidents has decreased.,medium
frown,皱眉；不赞成,cet6,The teacher frowned at the noisy students.,medium
fulfill,履行；实现,cet6,He fulfilled his promise.,high
function,功能；函数；运作,cet6,The system is functioning properly.,high
fund,基金；资金,cet6,The project is funded by the government.,high
fundamental,基本的；根本的,cet6,There are fundamental differences between the two.,high
furthermore,此外；而且,cet6,Furthermore, the cost is too high.,medium
generate,产生；生成,cet6,The system generates electricity.,high
generous,慷慨的；大方的,cet6,The donation was very generous.,medium
genuine,真正的；真诚的,cet6,She showed genuine concern.,high
global,全球的；全面的,cet6,Climate change is a global issue.,high
guarantee,保证；担保,cet6,We guarantee your satisfaction.,high
guideline,指导方针；准则,cet6,Follow the safety guidelines.,medium
harmony,和谐；协调,cet6,The two nations lived in harmony.,medium
harsh,严酷的；粗糙的,cet6,The weather conditions were harsh.,medium
hesitate,犹豫；迟疑,cet6,Don't hesitate to ask for help.,medium
highlight,强调；突出,cet6,The report highlights key issues.,high
horizon,地平线；视野,cet6,Broaden your horizons by reading widely.,medium
hostile,敌对的；有敌意的,cet6,The environment was hostile.,medium
identical,完全相同的；同一的,cet6,The two versions are identical.,medium
ignorant,无知的；不了解的,cet6,He was ignorant of the facts.,medium
illustrate,说明；阐明,cet6,The diagram illustrates the process.,high
imaginary,想象的；虚构的,cet6,The story is set in an imaginary world.,medium
immune,免疫的；不受影响的,cet6,He is immune to criticism.,medium
implement,实施；执行,cet6,The new policy will be implemented next month.,high
implication,含义；暗示,cet6,What are the implications of this decision?,medium
impose,强加；征收,cet6,The government imposed new taxes.,medium
impulse,冲动；推动力,cet6,He acted on impulse.,medium
incident,事件；事故,cet6,The incident was reported to the police.,medium
incline,倾斜；倾向于,cet6,I incline to the opposite view.,medium
incorporate,包含；合并,cet6,The new design incorporates feedback.,high
indicate,表明；指示,cet6,The data indicates a clear trend.,high
individual,个人的；个体,cet6,Each individual has unique talents.,high
inevitable,不可避免的,cet6,Change is inevitable.,high
inferior,低等的；下级的,cet6,This product is inferior to the competitor's.,medium
influence,影响；势力,cet6,Her speech influenced public opinion.,high
initiate,开始；发起,cet6,The company initiated a new project.,medium
innocent,无辜的；天真的,cet6,He was found innocent of the crime.,medium
innovation,创新；革新,cet6,Innovation drives economic growth.,high
inspect,检查；审视,cet6,The building was thoroughly inspected.,medium
inspiration,灵感；鼓舞,cet6,She drew inspiration from nature.,medium
install,安装；任命,cet6,The software is easy to install.,medium
instinct,本能；直觉,cet6,Birds migrate by instinct.,medium
integrate,整合；融入,cet6,The system integrates all data sources.,high
intellectual,智力的；知识分子,cet6,Intellectual property must be protected.,medium
intelligent,聪明的；智能的,cet6,The device uses intelligent algorithms.,high
intense,强烈的；紧张的,cet6,The competition was intense.,high
interact,互动；相互作用,cet6,The teacher encourages students to interact.,high
interfere,干涉；妨碍,cet6,Don't interfere in other people's business.,medium
interior,内部的；室内,cet6,The interior design is elegant.,medium
interpret,解释；口译,cet6,How do you interpret this data?,high
interval,间隔；间歇,cet6,The intervals between meetings were too short.,medium
invade,入侵；侵犯,cet6,The country was invaded.,medium
investigate,调查；研究,cet6,The police are investigating the case.,high
isolate,隔离；孤立,cet6,The patient was isolated.,medium
joint,联合的；共同的,cet6,The project is a joint venture.,medium
justify,证明正当；辩护,cet6,How can you justify such behavior?,high
launch,发射；启动,cet6,The company launched a new product.,high
lean,倾斜；靠；精瘦的,cet6,The company adopted lean manufacturing.,medium
legislation,立法；法规,cet6,New legislation was passed.,medium
liberal,自由的；开明的,cet6,The university has a liberal arts curriculum.,medium
license,许可证；执照,cet6,You need a license to drive.,medium
likewise,同样地；也,cet6,The same rules apply likewise.,medium
lobby,游说；大厅,cet6,The group lobbied for environmental protection.,medium
logical,逻辑的；合理的,cet6,That is a logical conclusion.,high
maintain,维持；保养,cet6,We need to maintain the equipment.,high
manipulate,操纵；控制,cet6,The data was manipulated.,medium
manufacture,制造；生产,cet6,The company manufactures automotive parts.,medium
margin,边缘；利润,cet6,The profit margin is slim.,medium
massive,大量的；大规模的,cet6,The storm caused massive damage.,high
mature,成熟的；到期的,cet6,The technology has matured.,medium
maximum,最大的；最大值,cet6,The maximum speed is 120 km/h.,high
medium,中间的；媒介；中等的,cet6,The ideal candidate has medium experience.,medium
mental,心理的；精神的,cet6,Mental health is equally important.,high
minor,次要的；较小的；未成年人,cet6,The issue is minor.,medium
miracle,奇迹；不可思议的事,cet6,It was a miracle that he survived.,medium
modify,修改；调整,cet6,The design was modified.,high
monitor,监控；监视器,cet6,The system monitors air quality.,high
moral,道德的；道德,cet6,The story has a moral lesson.,medium
multiple,多个的；多种的,cet6,There are multiple solutions.,high
mutual,相互的；共同的,cet6,The feeling is mutual.,medium
neglect,忽视；疏忽,cet6,The building was neglected.,medium
negotiate,谈判；协商,cet6,The union negotiated a new contract.,high
neutral,中立的；中性的,cet6,Switzerland remained neutral.,medium
notion,概念；看法,cet6,The notion of freedom is central.,medium
nuclear,核能的；核心的,cet6,Nuclear energy is controversial.,medium
objection,反对；异议,cet6,The objection was overruled.,medium
obligation,义务；责任,cet6,We have a legal obligation.,medium
obvious,明显的；显而易见的,cet6,The answer is obvious.,high
occupy,占据；使忙碌,cet6,The seat was occupied.,medium
offend,冒犯；得罪,cet6,His remarks offended many people.,medium
operate,操作；经营；运转,cet6,The machine operates smoothly.,high
opponent,对手；反对者,cet6,He defeated his opponent.,medium
oppose,反对；对抗,cet6,The majority opposed the plan.,medium
optimistic,乐观的；积极的,cet6,She remains optimistic about the future.,high
option,选择；选项,cet6,You have several options.,high
orbit,轨道；环绕,cet6,The satellite is in orbit.,medium
organize,组织；安排,cet6,The event was well organized.,high
original,原来的；独创的,cet6,The original document was lost.,high
outcome,结果；结局,cet6,The outcome was unexpected.,high
outline,大纲；轮廓；概述,cet6,The teacher outlined the main points.,medium
output,产出；输出,cet6,The factory increased its output.,medium
overcome,克服；战胜,cet6,She overcame many obstacles.,high
overlook,忽略；俯瞰,cet6,The hotel overlooks the beach.,medium
overseas,海外的；国外的,cet6,The company has overseas operations.,medium
participate,参与；参加,cet6,Everyone is encouraged to participate.,high
particle,粒子；微粒,cet6,Physicists study subatomic particles.,medium
passion,热情；激情,cet6,She has a passion for music.,high
passive,被动的；消极的,cet6,He took a passive role in the discussion.,medium
perceive,感知；察觉；认为,cet6,How do you perceive the situation?,medium
persist,坚持；持续,cet6,If you persist, you will succeed.,medium
perspective,视角；观点；透视,cet6,We need a different perspective.,high
phenomenon,现象,cet6,The phenomenon is difficult to explain.,medium
philosophy,哲学；理念,cet6,The company's philosophy is customer first.,medium
portion,部分；一份,cet6,A portion of the profits goes to charity.,medium
possess,拥有；具有,cet6,The country possesses rich natural resources.,medium
potential,潜力；潜在的,cet6,The technology has great potential.,high
poverty,贫穷；贫困,cet6,The government aims to reduce poverty.,medium
precise,精确的；准确的,cet6,The measurements need to be precise.,high
predict,预测；预言,cet6,Experts predict economic growth.,high
predominant,主要的；占优势的,cet6,The predominant color is blue.,medium
prejudice,偏见；歧视,cet6,The decision was based on prejudice.,medium
preserve,保存；保护；保养,cet6,We must preserve the environment.,high
prevail,盛行；占上风,cet6,Justice will prevail.,medium
previous,先前的；以前的,cet6,The previous version had bugs.,high
principle,原则；原理,cet6,The principle applies in all cases.,high
privilege,特权；荣幸,cet6,It was a privilege to meet her.,medium
proceed,继续；进行,cet6,Please proceed with your presentation.,high
professional,专业的；职业的,cet6,She maintains a professional attitude.,high
profound,深刻的；深远的,cet6,The discovery had profound implications.,medium
prohibit,禁止；阻止,cet6,Smoking is prohibited in this area.,medium
promote,促进；推广；晋升,cet6,The campaign promotes healthy eating.,high
proportion,比例；部分,cet6,A large proportion of the population agrees.,medium
prospect,前景；可能性,cet6,The job prospects are excellent.,high
prosperity,繁荣；兴旺,cet6,The country enjoyed a period of prosperity.,medium
publish,出版；发表,cet6,The research was published in a journal.,high
purchase,购买；采购,cet6,The company purchased new equipment.,high
pursue,追求；追赶；从事,cet6,She decided to pursue a career in medicine.,high
qualify,有资格；限定,cet6,You qualify for a discount.,medium
quote,引用；报价,cet6,The article quotes several experts.,medium
radical,根本的；激进的,cet6,The country needs radical reform.,medium
random,随机的；任意的,cet6,The sample was randomly selected.,high
range,范围；幅度；一系列,cet6,The price range is wide.,high
rapid,迅速的；快速的,cet6,There has been rapid growth.,high
rational,理性的；合理的,cet6,We need a rational approach.,medium
rebel,反叛者；叛逆,cet6,He rebelled against authority.,medium
recession,衰退；经济萧条,cet6,The economy is in recession.,medium
recognition,识别；认可；承认,cet6,She received recognition for her work.,high
recommend,推荐；建议,cet6,I highly recommend this book.,high
recover,恢复；康复；收回,cet6,The economy is recovering.,high
recruit,招募；招聘,cet6,The company is recruiting new staff.,medium
reduce,减少；降低,cet6,We need to reduce costs.,high
reflect,反映；反射；思考,cet6,The results reflect our efforts.,high
reform,改革；革新,cet6,The government announced reforms.,medium
regulate,调节；管理,cet6,The market is regulated by the government.,medium
reinforce,加强；强化,cet6,The argument reinforces our position.,medium
reject,拒绝；驳回,cet6,The proposal was rejected.,high
reluctant,不情愿的；勉强的,cet6,He was reluctant to leave.,medium
remedy,补救；治疗；纠正,cet6,The remedy for the problem is simple.,medium
remote,遥远的；偏僻的,cet6,The village is remote.,medium
render,使成为；提供；给予,cet6,The machine rendered the task easy.,medium
represent,代表；表示,cet6,The symbol represents peace.,high
reproduce,复制；繁殖,cet6,The document can be reproduced.,medium
reputation,声誉；名誉,cet6,The company has a good reputation.,high
resemble,类似；像,cet6,The two species resemble each other.,medium
reserve,保留；预订,cet6,Please reserve a table.,medium
reside,居住；存在于,cet6,The power resides with the people.,medium
resign,辞职；放弃,cet6,He resigned from his position.,medium
resist,抵抗；抵制；忍住,cet6,She couldn't resist the temptation.,high
resolution,分辨率；决心；解决方案,cet6,The dispute reached a resolution.,medium
resolve,解决；决心,cet6,We must resolve this issue.,high
resource,资源；财力,cet6,The country has abundant natural resources.,high
respond,回应；响应,cet6,Please respond by Friday.,high
restore,恢复；修复；归还,cet6,The building was restored.,medium
restrain,抑制；限制；克制,cet6,He restrained himself from shouting.,medium
restrict,限制；约束,cet6,The new law restricts smoking.,high
retain,保留；保持,cet6,The company retained its top talent.,high
reveal,揭示；透露；展现,cet6,The investigation revealed fraud.,high
revise,修订；复习,cet6,The textbook was revised.,medium
revolt,反抗；反叛,cet6,The people revolted against the ruler.,medium
revolve,旋转；围绕,cet6,The discussion revolved around the budget.,medium
risky,有风险的；冒险的,cet6,The investment is risky.,medium
rival,竞争对手；匹敌者,cet6,The two companies are rivals.,medium
romantic,浪漫的；浪漫主义的,cet6,The story has a romantic ending.,medium
route,路线；途径,cet6,We took the scenic route.,medium
sacrifice,牺牲；献祭,cet6,She made many sacrifices.,high
scatter,分散；撒播,cet6,The crowd scattered.,medium
schedule,时间表；安排,cet6,The flight is on schedule.,high
scheme,计划；方案；阴谋,cet6,The scheme was approved.,medium
scope,范围；机会；视野,cet6,The scope of the project is broad.,medium
scrutiny,仔细审查；监督,cet6,The plan came under scrutiny.,medium
segment,部分；片段；段,cet6,The market segment is growing.,medium
senior,年长的；高级的；资深的,cet6,She holds a senior position.,high
sensitive,敏感的；灵敏的；敏感的,cet6,The topic is sensitive.,high
sequence,序列；顺序；连续,cet6,The events occurred in sequence.,medium
severe,严重的；严厉的；剧烈的,cet6,The storm caused severe damage.,high
shift,转移；转变；轮班,cet6,The shift in policy was unexpected.,high
signal,信号；标志；示意,cet6,The signal was clear.,medium
significant,重要的；显著的；有意义的,cet6,The change was significant.,high
simulate,模拟；模仿,cet6,The software simulates flight conditions.,medium
sophisticated,复杂的；精密的；老练的,cet6,The system is highly sophisticated.,high
source,来源；出处；源头,cet6,The information comes from a reliable source.,high
specific,特定的；具体的；明确的,cet6,We need specific details.,high
specify,指定；详细说明,cet6,Please specify your requirements.,medium
sponsor,赞助；资助；发起人,cet6,The event was sponsored by a bank.,medium
stable,稳定的；稳固的；安定的,cet6,The economy is stable.,high
standard,标准；规范；标准的,cet6,The product meets industry standards.,high
stimulate,刺激；激发；促进,cet6,The policy stimulated economic growth.,medium
strategic,战略的；策略的,cet6,The company made a strategic decision.,high
stress,压力；强调；重音,cet6,The stress of work affected her health.,high
structure,结构；构造；建筑物,cet6,The organization has a complex structure.,high
substitute,替代品；替补；代替,cet6,There is no substitute for experience.,medium
sufficient,足够的；充分的,cet6,The evidence is sufficient.,high
superior,优越的；上级的；高傲的,cet6,The product is superior to its competitors.,high
supplement,补充；增补；补充物,cet6,The vitamin supplement improved her health.,medium
surplus,过剩；剩余；盈余,cet6,The country has a trade surplus.,medium
surrender,投降；放弃；交出,cet6,The enemy surrendered.,medium
survey,调查；测量；审视,cet6,The survey revealed interesting trends.,high
survive,生存；存活；幸存,cet6,Only a few survived the crash.,high
suspect,怀疑；嫌疑犯；可疑的,cet6,The police suspect foul play.,high
suspend,暂停；悬挂；推迟,cet6,The flight was suspended.,medium
sustain,维持；支撑；遭受,cet6,The economy cannot sustain such growth.,high
symbol,象征；符号；标志,cet6,The dove is a symbol of peace.,high
sympathy,同情；同感；慰问,cet6,She expressed sympathy for the victims.,medium
temporary,暂时的；临时的,cet6,The job is temporary.,high
tendency,趋势；倾向；趋向,cet6,There is a tendency to oversimplify.,medium
terminal,终端的；末端的；终点站,cet6,The disease is terminal.,medium
territory,领土；领域；范围,cet6,The company expanded into new territory.,medium
tolerate,容忍；忍受；容许,cet6,The teacher will not tolerate cheating.,high
transform,变形；转变；改造,cet6,The city has been transformed.,high
transmit,传输；传送；传播,cet6,The signal is transmitted wirelessly.,medium
transparent,透明的；显而易见的,cet6,The glass is transparent.,medium
trap,陷阱；圈套；困住,cet6,The animal was trapped.,medium
treaty,条约；协议；协定,cet6,The two countries signed a peace treaty.,medium
tremendous,巨大的；极好的；惊人的,cet6,The response was tremendous.,high
trend,趋势；潮流；倾向,cet6,The trend is toward remote work.,high
trigger,触发；引起；扳机,cet6,The incident triggered a debate.,high
triumph,胜利；凯旋；成功,cet6,The team celebrated their triumph.,medium
typical,典型的；特有的；平常的,cet6,This is a typical example.,high
undergo,经历；遭受；承受,cet6,The company underwent major changes.,medium
undertake,承担；从事；承诺,cet6,She undertook the responsibility.,medium
unify,统一；使一致,cet6,The country was unified.,medium
unique,独特的；唯一的；独一无二的,cet6,Each person is unique.,high
universal,普遍的；全世界的；通用的,cet6,The law is universal.,high
urban,城市的；都市的,cet6,Urban areas are growing rapidly.,high
urge,催促；驱策；强烈欲望,cet6,She urged him to apply.,medium
utilize,利用；使用,cet6,We need to utilize our resources.,high
valid,有效的；合理的；有根据的,cet6,The ticket is valid for one month.,high
vanish,消失；消散；灭绝,cet6,The species vanished from the earth.,medium
venture,冒险；风险投资；企业,cet6,The business venture was successful.,medium
verify,验证；核实；证明,cet6,Please verify your identity.,high
version,版本；说法；变体,cet6,The new version is much better.,high
vessel,容器；船；血管,cet6,The blood vessels were damaged.,medium
viable,可行的；能生存的,cet6,The plan is economically viable.,medium
violate,违反；侵犯；亵渎,cet6,The company violated safety regulations.,medium
virtue,美德；优点；长处,cet6,Patience is a virtue.,medium
visible,可见的；明显的；能见的,cet6,The stars are visible tonight.,high
vision,视力；愿景；洞察力,cet6,The company has a clear vision.,high
vital,至关重要的；有活力的,cet6,Exercise is vital for health.,high
vivid,生动的；鲜明的；逼真的,cet6,She gave a vivid description.,medium
volume,音量；体积；卷；量,cet6,The volume of sales increased.,high
vulnerable,脆弱的；易受伤的；易受攻击的,cet6,Children are vulnerable to disease.,medium
welfare,福利；幸福；福祉,cet6,The government provides welfare.,medium
widespread,广泛的；普遍的；分布广的,cet6,The disease is widespread.,high
withdraw,撤回；提取；退出,cet6,He withdrew money from the bank.,medium
yield,产量；产出；屈服；让步,cet6,The investment yielded good returns.,high
zone,区域；地带；范围,cet6,The city is divided into zones.,medium
